@relation training_set

@attribute branch-load-misses numeric
@attribute branch-loads numeric
@attribute L1-dcache-load-misses numeric
@attribute branch-store-misses numeric
@attribute branch-stores numeric
@attribute dTLB-load-misses numeric
@attribute dTLB-loads numeric
@attribute iTLB-load-misses numeric
@attribute iTLB-loads numeric
@attribute L1-dcache-loads numeric
@attribute L1-dcache-store-misses numeric
@attribute L1-dcache-stores numeric
@attribute L1-icache-load-misses numeric
@attribute L1-icache-loads numeric
@attribute branch-misses numeric
@attribute bus-cycles numeric
@attribute cache-misses numeric
@attribute cache-references numeric
@attribute cpu-cycles numeric
@attribute instructions numeric
@attribute label {malware,benign}

@data
13176314,209561750,8730534,2439819,153732266,650083,672253428,339135,613290609,644176103,4275075,644251991,4812186,999522283,2583270,2285806661,4325754,645770877,2281664369,3810473761,malware
13372514,207636959,8697613,2539286,154593283,673869,669140424,342187,610755138,642669232,4383441,642698157,4686775,997841669,2508239,2298723078,4370047,646741471,2287417543,3839056144,malware
13326386,208367136,8741128,2624626,154998982,692716,677640038,333190,616576832,648561625,4358243,648538882,4878200,1002244094,2642727,2295670016,4455123,644749339,2297879556,3832857313,malware
6342228,100693588,3325268,33975186,541424369,17933153,1671356234,6006511,1152998395,505935912,4251923,500214954,15152367,555865077,14618349,3896107508,20763817,1557689143,3356235631,2971511216,malware
1229823,7569447,421313,3290194,50191063,996623,111521106,297616,94849642,20862895,671146,20862895,2419020,44105798,2012393,411011743,2340995,110764549,318186512,215729031,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43874561,66865,8547840,245761,16452,malware
284179,5976084,65820,283703,5877338,369505,8319330,16375,15800149,8369604,60085,8369604,46536,15273304,304035,0,0,0,43473390,25795928,malware
0,0,0,0,0,0,7282,424,101280,0,0,0,0,0,0,55651864,92243,8305027,0,0,malware
317761,5840590,95816,310314,5841321,216142,8310009,16441,16359541,8338168,97810,8338168,50485,13212623,318590,0,0,0,57522618,24266813,malware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330445,4784,129805,0,0,malware
